,trend,signal,last_close,vwap_year,vwap_min,vwap_max,atr,entry_price,stop_loss,take_profit,position_size
HCI.JO,Neutral,,12994.0,13234.742428938403,12104.979648671222,12376.26406853981,293.71,,,,0
HDC.JO,Neutral,,18987.0,19040.864236660294,18355.516680674453,18504.15763221832,558.21,,,,0
HMN.JO,Bullish,,6809.0,6531.647706873539,6724.741619988167,6510.087622150602,142.64,,,,0
HYP.JO,Bullish,,4798.0,4363.344045247245,4714.952050841776,4707.650963487717,107.57,,,,0
IMP.JO,Bullish,,22150.0,14051.185552179877,19237.910409489596,18416.538317186183,1058.01,,,,0
INL.JO,Neutral,,13099.0,12253.478468117817,13281.639211043474,13165.648890630739,289.57,,,,0
INP.JO,Neutral,,13090.0,12309.213622845265,13251.848102281912,13127.89588593766,334.71,,,,0
ITE.JO,Bearish,Short,950.0,1036.3486530686441,1021.9302599690053,960.7210506169373,34.57,950.0,995.2910506169374,1021.9302599690053,2.207941715589245
JSE.JO,Bullish,Long,12906.0,12619.348848628919,12813.519315212998,13026.677642285427,212.64,12906.0,12600.879315212998,13026.677642285427,0.3277391700592436
KAP.JO,Bearish,Short,162.0,221.68959143679405,250.97634529662392,167.5650040049083,11.79,162.0,179.3550040049083,250.97634529662392,5.762026904270277
KIO.JO,Bullish,,32795.0,31816.75754620187,30720.52586438238,30581.827559509453,855.5,,,,0
KRO.JO,Bullish,,100022.0,86921.1696221592,89933.57524147633,89146.24149076447,4745.57,,,,0
KST.JO,Bullish,,2389.0,2016.1043122514768,2291.1585500082806,2283.5804598419422,68.29,,,,0
LHC.JO,Neutral,,1188.0,1412.225643468639,1217.0899042087503,1175.1381957580365,49.75,,,,0
